"6029 Agnes Avenue, Temple City, California 91780",5385-027-008,P25-50658,Plumbing,"PLUMBING FOR A NEW SINGLE FAMILY DWELLING AND CONNECT TO PUBLIC SEWER",$0,Issued,12-04-2025,12-04-2025,"Eric Construction Inc."
"6229 Reno Avenue, Temple City, California 91780",5384-001-018,P25-50660,Plumbing,"DETACHED STUDIO ACCESSORY DWELLING UNIT TO CONNECT TO MAIN HOUSE'S SEWER LINE",$0,Issued,12-04-2025,12-04-2025,Owner-Builder
"6335 Trelawney Avenue Unit A , Temple City, California 91780",5382-020-062,B24-46868,Building,"660 SQ.FT. ADDITION FOR A NEW FAMILY ROOM, MASTER BEDROOM, MASTER BATHROOM AND STORAGE ROOM WITH THE TOTAL 2000 SQ.FT. INTERIOR REMODEL 28 SQ.FT. TO CONVERT THE EXISTING POWDER ROOM INTO BATHROOM AND ATTACHED 3-CAR GARAGE","$180,000",Issued,06-05-2024,12-08-2025,"Tan Construction"
"6335 Trelawney Avenue Unit B , Temple City, California 91780",5382-020-062,B24-46869,Building,"NEW 1000 SQ.FT. DETACHED ACCESSORY DWELLING UNIT: 3 BEDROOMS, 2 BATHROOMS, KITCHEN AND 22 SQ.FT. ENTRANCE PORCH","$167,082.18",Issued,06-05-2024,12-08-2025,"Tan Construction"
"6034 Sultana Avenue Unit C , Temple City, California 91780",5384-015-011,B25-49108,Building,"CONVERT EXISTING DETACHED GARAGE AND POOL HOUSE INTO DETACHED 616 SQ.FT. ACCESSORY DWELLING UNIT: ONE BEDROOM, TWO BATHROOMS, LIVING ROOM, DINING AND KITCHEN. CONVERT ENCLOSED PATIO INTO COVERED PATIO 165 SQ.FT.","$78,725",Issued,05-01-2025,12-08-2025,Owner-Builder
"5632 Gracewood Avenue Unit A-B , Arcadia, California 91007",8586-014-009,B25-49239,Building,"NEW 800 SQ.FT. ATTACHED ACCESSORY DWELLING UNIT: TWO BEDROOMS, TWO BATHROOMS, LIVING ROOM, DINING AND KITCHEN","$132,536",Issued,05-15-2025,12-08-2025,"Tan Construction"
"9738 Woolley Street, Temple City, California 91780",5383-017-014,B25-50664,Building,"REMOVE (1) LAYER OLD ROOF. INSTALL NEW PLYWOOD, INSTALL SYNTHETIC UNDERLAYMENT AND INSTALL GAF ASPHALT SHINGLES RS","$18,500",Issued,12-08-2025,12-08-2025,"D Salvador Roofing"
"5037 Sereno Drive, Temple City, California 91780",5388-016-028,B25-50666,Building,"1250 SQ.FT. OF R38 BLOWN IN INSULATION IN ATTIC",$3500,Issued,12-08-2025,12-08-2025,"Service Champions Inc. dba Service Champions Heating and Air Conditioning"
"9534 Las Tunas Drive, Temple City, California 91780",8587-012-011,B25-50667,Building,"INSTALL (1) SET OF INTERNALLY ILLUMINATED LED CHANNEL LETTER SIGN FOR (ELEVE LA GREE)",$2200,Issued,12-08-2025,12-08-2025,Signex
"6361 Encinita Avenue, Temple City, California 91780",5382-023-013,E25-50663,Electrical,"UPGRADE METER PANEL FROM 125 AMP TO 200 AMP METER PANEL",$0,Issued,12-08-2025,12-08-2025,"Alpha Electrical"
