permit_number,status,permit_type,applied_date,issued_date,address,parcel_number,fee,valuation,description
BLD25-6923,"Awaiting Applicant Response","Building Permit With Plan Check",11/11/2025,,"11007 Moonshine Rd Twin Hills [TWI]",073-030-023,$0.00,$0.00,"-31 SQFT. CONVERSION OF REGULAR SHOWER TO STEAM SHOWER -WATER DAMAGE REPAIR TO SUB FLOOR AND FRAMING AS REQ'D -REPLACE TWO WINDOWS WITH A SINGLE, SMALLER, TEMPERED, NON- OPPERABLE WINDOW WITHIN THE SAME OPENING"
BLD25-6924,Check,"Building Permit With Plan Check",11/11/2025,,"1755 Brush Creek Rd Rincon Valley [RIN]",181-020-009,$1698.21,$62440.32,"SFD, Interior Alteration w/ all new electrical throughout (1,088 SF) of existing residence closest to Brush Cr."
BLD25-6925,Started,"Building Permit With Plan Check",11/12/2025,,"3176 Guerneville Rd Santa Rosa [SRO]",130-020-020,$0.00,$0.00,"bathroom and laundry room remodel to resolve VBU25-0397"
BLD25-6926,Issued,"Building Permit With Plan Check",11/12/2025,11/19/2025,"130 Fern Ave Penngrove [PEN]",047-032-019,$479.10,,"SFD, Install ESS 20.0 kWh and (2) Battery, (1)(N) AC COMBINER(S), (1)(N) AC DISCONNEC, (2)(N) AC DISCONNECT, (1)(N)ENPHASE IQ METER COLLAR"
BLD25-6927,"Awaiting Applicant Response","Building Permit With Plan Check",11/12/2025,,"1600 Sobre Vista Rd Glen Ellen [GLE]",133-082-006,$0.00,$0.00,"Replace deck structure and decking and railing in-kind with steel framing members instead of wood. Dimensions and location stays the same. Rebuilding and design deck structure from wood to steel with Fortress brand steel components. See Fortress Specifications in this Plan Submittal. $150,115"
BLD25-6928,Check,"Building Permit With Plan Check",11/12/2025,,"8960 Hwy 12 Kenwood [KEN]",050-161-020,$620.67,$20522.32,"Tuff Shed - Shed 1 of 2, (728 SF) (26'w x 28'l) Detached Tuff Shed Storage Sheds"
BLD25-6930,Issued,"Building Permit With Plan Check",11/12/2025,11/17/2025,"907 Los Robles Dr Agua Caliente [AGU]",056-583-021,$629.25,,"SFD, Roof Mount Solar Install 13.92kW DC & ESS 45kWh AC (unrelated violation is VBU25-0163)"
BLD25-6931,"Awaiting Applicant Response","Building Permit With Plan Check",11/12/2025,,"6275 Big Cedar Ct Twin Hills [TWI]",063-360-005,$0.00,$0.00,"SFD - (N) 218 SF Covered Porch Addition Addition of covered back porch"
BLD25-6933,Check,"Building Permit With Plan Check",11/12/2025,,"1650 Moraga Dr Santa Rosa [SRO]",044-162-007,$577.33,$18881.31,"SFD, Remodel Attached Garage 329 SF, VBU23-0339. interior remodel to remove unpermitted alterations. converted (E) garage to conditioned bonus rm, restore to its original use as unconditioned garage for vehicle parking and storage. Work includes removal of unpermitted interior partitions and window alterations and removal or correction of unpermitted electrical and mechanical work."
BLD25-6934,Check,"Building Permit With Plan Check",11/12/2025,,"1650 Moraga Dr Santa Rosa [SRO]",044-162-007,$1449.21,$77132.16,"SFD, Repairs to attached Garage to remove Violation Abatement-VBU23-0340 and VBU23-0341, interior remodel, replace windows- no alterations. Building safety abatement permit to address dangerous and substandard conditions. Removal of accumulated debris and unsanitary conditions, restoration of clear and code compliant ingress/egress pathways and repair of deteriorated interior finishes and non load bearing elements as required for safe occupancy. Two bedroom windows will be replaced with new emergency escape and rescue openings-meeting CRC R310, installed within rough openings and without alteration to exterior wall configuration to maintain legal sleeping room use, minor electrical ""make-safe"" repairs may be completed as required by inspection. No changes to building footprint, structural systdems or habitable area are proposed."
