Address,Parcel No,Permit No,Permit Type,Bldg Permit Subtype,Work Description,Valuation,Permit Status,Application Date,Issue Date,Expire Date,Final Date,Contractor
"5327 Camellia Avenue, Temple City, California 91780",8589-001-021,B25-49550,Building,RR Residential Alteration,"TEAR OFF EXISTING ROOF ON HOUSE. INSTALL CLASS ""A"" COMPOSITION OVER EXISTING SOLID SHEATHED ROOF DECK.",$8000,Finaled,07-03-2025,07-03-2025,07-03-2026,07-17-2025,Lansford Roofing Inc. 
"10831 Grand Avenue, Temple City, California 91780",8574-006-004,E25-49546,Electrical,,INSTALL SOLAR MOTOR GATE OPENER ,$0,Issued,07-03-2025,07-03-2025,07-03-2026,,Owner-Builder
"9227 Olive Street, Temple City, California 91780",8588-031-011,M25-49549,Mechanical,,INSTALL (2) HVAC SYSTEMS FOR A NEW SINGLE FAMILY DWELLING ,$0,Issued,07-03-2025,07-03-2025,07-03-2026,,Owner-Builder
"5212 Mcclintock Avenue, Temple City, California 91780",8574-005-015,MISC25-49544,Miscellaneous,,TO VERIFY COMPLIANCE:  TO REMOVE EXISTING CARPORT 365 SQ.FT. AND EXISTING ENCLOSED PATIO 226 SQ.FT. ,$0,Issued,07-03-2025,07-03-2025,07-03-2026,,Owner-Builder
"5327 Camellia Avenue, Temple City, California 91780",8589-001-021,B25-49551,Building,OT Other,"TEAR OFF EXISTING ROOF ON DETACHED GARAGE. INSTALL CLASS ""A"" COMPOSITION OVER EXISTING SOLID SHEATHED ROOF DECK.",$2000,Finaled,07-03-2025,07-07-2025,07-07-2026,07-17-2025,Lansford Roofing Inc. 
"9736 East Lemon Avenue, Arcadia, California 91007",5383-016-027,B25-49557,Building,RR Residential Alteration,TEAR OFF REROOF TILE HOUSE & ATTACHED GARAGE,"$23,000",Issued,07-07-2025,07-07-2025,07-07-2026,,Allbest Roofing Inc. 
"4908 Glickman Avenue, Temple City, California 91780",8585-015-093,E25-49556,Electrical,,125A MPU,$0,Issued,07-07-2025,07-07-2025,07-07-2026,,Yin Ping Liu
"6229 Reno Avenue Unit B, Temple City, California 91780",5384-001-018,E25-49559,Electrical,,"ADU: (7) BRANCH CIRCUITS, (13) OUTLETS SWITCHES RECEPTACLES,LIGHTING, (4) LIGHTING FIXTURES",$0,Issued,07-07-2025,07-07-2025,07-07-2026,,
"10632 Fairhall Street, Temple City, California 91780",8585-027-008,M25-49554,Mechanical,,RE-DUCTING 10 DIR DUCTS,$0,Issued,07-07-2025,07-07-2025,07-07-2026,,Mega Clean Air Inc. dba M A C  Construction 
"6229 Reno Avenue Unit B, Temple City, California 91780",5384-001-018,M25-49560,Mechanical,,ADU: (1) VENT FAN,$0,Issued,07-07-2025,07-07-2025,07-07-2026,,
"5618 Mcculloch Avenue, Temple City, California 91780",8573-013-024,P25-49553,Plumbing,,CONNECT ADU TO (E) HOUSE SEWER ,$0,Issued,07-07-2025,07-07-2025,07-07-2026,,
"6229 Reno Avenue Unit B, Temple City, California 91780",5384-001-018,P25-49561,Plumbing,,"ADU: (1) BATTUB/SHOWER (1) SINK, (1) WATER CLOSET/TOILET (1) WATER HEATER",$0,Issued,07-07-2025,07-07-2025,07-07-2026,,
