Address,Parcel No,Permit No,Permit Type,Bldg Permit Subtype,Work Description,Valuation,Permit Status,Application Date,Issue Date,Expire Date,Final Date,Contractor
"5014 Temple City Boulevard, Temple City, California 91780",8589-014-007,E25-48794,Electrical,,TESLA ENERGY STORAGE SYSTEM ,$0,Issued,03-20-2025,03-25-2025,03-25-2026,,Solar Tech Systems Inc. 
"9515 La Rosa Drive, Temple City, California 91780",8590-014-003,E25-48818,Electrical,,UPGRADE 100 AMP METER PANEL WITH A 200 AMP METER PANEL. PANEL WILL BE INSTALL ON THE SAME STOP WERE THE OLD METER PANEL IS AND IT IS GOING TO BE FLASH MOUNT ,$0,Issued,03-25-2025,03-25-2025,03-25-2026,,Lemus Electric 
"4853 Doreen Avenue, Temple City, California 91780",8585-024-036,E25-48820,Electrical,,TEMPORARY POWER POLE ,$0,Issued,03-25-2025,03-25-2025,03-25-2026,,Aligcus Construction LLC 
"4940 Baldwin Avenue, Temple City, California 91780",8585-008-038,E25-48824,Electrical,,INSTALL TESLA GATEWAY AND 60A TESLA WALL CONNECTOR (LEVEL 2 HARDWIRED EV CHARGER) ON EXTERIOR WALL OR RESIDENTIAL HOME ,$0,Issued,03-25-2025,03-25-2025,03-25-2026,,Richard Rizzo Electric Inc. 
"9244 Garibaldi Avenue, Temple City, California 91780",5385-005-003,M25-48817,Mechanical,,"REPLACE FURNACE, LIKE FOR LIKE AND (1) RETURN AIR UNDER 25' ",$0,Issued,03-25-2025,03-25-2025,03-25-2026,,Air Tech Air Conditioning Heating Inc. 
"6236 Hart Avenue Unit A-B , Temple City, California 91780",5384-009-005,B25-48690,Building,NR New Residential,"NEW 800 SQ.FT. ATTACHED ACCESSORY DWELLING UNIT: TWO BEDROOMS, TWO BATHROOMS, LIVING ROOM, KITCHEN, DINING, LAUNDRY AREA AND COVER PORCH 21 SQ.FT. ","$133,883.99",Issued,03-03-2025,03-26-2025,03-26-2026,,Owner-Builder
"5039 Fiesta Avenue, Temple City, California 91780",8590-019-009,B25-48825,Building,RR Residential Alteration,VOLUNTARY EARTHQUAKE RETROFIT USING THE L.A. CITY STANDARD PLAN DETAIL #7 ,$3800,Issued,03-26-2025,03-26-2025,03-26-2026,,R M #1 Construction Inc. 
"6127 Kauffman Avenue, Temple City, California 91780",5385-017-008,B25-48826,Building,RR Residential Alteration,REPLACE (14) WINDOWS AND (1) SLIDING GLASS DOOR ,$8000,Issued,03-26-2025,03-26-2025,03-26-2026,,Owner-Builder
"5114 Sereno Drive, Temple City, California 91780",5388-011-036,B25-48829,Building,OT Other,REPLACE EXISTING PATIO COVER 14' X 20' WITH NEW ALUMAWOOD PATIO COVER. A PORTION OF THE PATIO COVER WILL BE LATTICE 14' X 12' ,$8000,Issued,03-26-2025,03-26-2025,03-26-2026,,Sarrazin Enterprise Inc. dba Rooms Covers & Solar 
"5527 Encinita Avenue, Temple City, California 91780",5387-020-010,B25-48831,Building,OT Other,"SUPPLEMENTAL PERMIT FOR THE DETACHED GARAGE ROOF REPLACEMENT, REPLACE PLYWOOD SHEATHING. INSTALL ASPHALT SHINGLES LIKE FOR LIKE  (SEE ALSO PERMIT # B25-48729) ",$0,Issued,03-26-2025,03-26-2025,03-26-2026,,Owner-Builder
"5336 Noel Drive Unit A , Temple City, California 91780",5388-007-025,B25-48834,Building,FS Fire Sprinkler,NEW FIRE SPRINKLER SYSTEM FOR A NEW SINGLE FAMILY DWELLING ,$4500,Issued,03-26-2025,03-26-2025,03-26-2026,,United Fire & Safety Corp.
"5336 Noel Drive Unit B , Temple City, California 91780",5388-007-025,B25-48835,Building,FS Fire Sprinkler,NEW FIRE SPRINKLER SYSTEM FOR A NEW DETACHED ACCESSORY DWELLING UNIT ,$2500,Issued,03-26-2025,03-26-2025,03-26-2026,,United Fire & Safety Corp.
"5346 Temple City Boulevard Unit B , Temple City, California 91780",8589-001-002,B25-48839,Building,CB Combo Building,NEW 3.20 KWDC ROOF MOUNT PV SYSTEM WITH (8) MODULES AND (1) INVERTER ,$0,Issued,03-26-2025,03-26-2025,03-26-2026,,Zaith Construction Group dba Clean-Power 2N
"9558 La Rosa Drive, Temple City, California 91780",8590-018-022,E25-48815,Electrical,,PANEL UPGRADE TO 200 AMP SERVICE ,$0,Issued,03-24-2025,03-26-2025,03-26-2026,,Amgreen Solutions Inc. 
"6253 Muscatel Avenue Unit B , San Gabriel, California 91775",5386-009-022,E25-48827,Electrical,,INSTALL 400 AMP SERVICE PANEL + 125 AMP SUB-PANEL ,$0,Issued,03-26-2025,03-26-2025,03-26-2026,,Owner-Builder
"6149 Encinita Avenue, Temple City, California 91780",5384-012-020,E25-48828,Electrical,,UPGRADE PANEL TO 200 AMP ,$0,Issued,03-26-2025,03-26-2025,03-26-2026,,Jianrong Zhu 
"5114 Sereno Drive, Temple City, California 91780",5388-011-036,E25-48830,Electrical,,INSTALL (6) LIGHT FIXTURES ,$0,Issued,03-26-2025,03-26-2025,03-26-2026,,Sarrazin Enterprise Inc. dba Rooms Covers & Solar 
"9108 Emperor Avenue, San Gabriel, California 91775",5382-015-002,B25-48840,Building,FS Fire Sprinkler,INSTALL NEW FIRE SPRINKLER SYSTEM FOR A NEW SINGLE FAMILY DWELLING ,$5000,Issued,03-27-2025,03-27-2025,03-27-2026,,Specialized Fire Protection Inc.
"10531 Freer Street, Temple City, California 91780",8585-021-039,B25-48841,Building,RR Residential Alteration,TEAR OFF ROOFING MATERIAL DOWN TO WOOD SHEATHING AND INSTALL COMPOSITION SHINGLES ,"$13,500",Issued,03-27-2025,03-27-2025,03-27-2026,,Jeffrey Obata 
"9844 Daines Drive, Temple City, California 91780",8588-017-017,B25-48842,Building,RR Residential Alteration,TEAR OFF EXISTING ROOF. REROOF 1900 SQ.FT. IKO CAMBRIDGE COOL PLUS - GRAPHITE ,$5100,Issued,03-27-2025,03-27-2025,03-27-2026,,Owner-Builder
"9816 Key West Street, Temple City, California 91780",8589-021-020,P25-48843,Plumbing,,REPLACE GAS PIPE WITH NEW ONE IN THE FRONT YARD ACCORDING THE CURRENT CODE,$0,Issued,03-27-2025,03-27-2025,03-27-2026,,Owner-Builder
"9705 Broadway, Temple City, California 91780",8588-010-031,B24-47698,Building,RA Residential Addition,"1-STORY ADDITION 798 SQ.FT. OF ONE BEDROOM, ONE BATHROOM, WALK-IN CLOSET, LIVING ROOM AND LAUNDRY ROOM","$132,204.66",Issued,10-08-2024,03-31-2025,03-31-2026,,Ibarra General Construction Inc. 
"5300 Rosemead Boulevard, Temple City, California 91776",5388-010-040,B25-48566,Building,CB Combo Building,INSTALL (60) PVS ROOF MOUNTED PV SYSTEM SIZE: 24.60 KW (DC) AND (2) INVERTERS ,"$45,000",Issued,02-12-2025,03-31-2025,03-31-2026,,Solar Solutions 4 U Inc. dba H L V Electric Co. 
"5644 El Monte Avenue, Temple City, California 91780",8573-001-009,B25-48758,Building,CB Combo Building,"INSTALL ROOF MOUNTED 4.92 KW PV ARRAY, (12) MODULES & (2) TESLA POWERWALL ESS ",$0,Issued,03-13-2025,03-31-2025,03-31-2026,,Tesla Energy Operations Inc. 
